winemag_country,average_price,average_points
England,51.63636363636363,91.25
India,13.5,90.75
Austria,30.846774193548388,89.99266055045871
Germany,40.592233009708735,89.80875356803045
Hungary,50.81967213114754,89.42622950819673
Canada,35.575471698113205,89.21296296296296
France,41.57794888963285,88.87148738142116
Morocco,21.09090909090909,88.63636363636364
Australia,35.786701208981,88.58283772302464
Italy,39.739835514884746,88.5664167916042
US,36.34488875748392,88.55609522758215
Luxembourg,23.0,88.25
New Zealand,26.662905500705218,88.23738062755798
Turkey,25.767441860465116,88.23255813953489
Israel,31.508064516129032,88.1891891891892
Macedonia,15.833333333333334,88.16666666666667
Portugal,25.64736012608353,88.13432332095849
South Africa,24.293478260869566,88.07462686567165
Slovenia,24.0,87.97435897435898
Bulgaria,14.014705882352942,87.91176470588235
Serbia,25.0,87.85714285714286
Switzerland,97.0,87.75
Lebanon,30.4,87.65
Georgia,18.27027027027027,87.56756756756756
Spain,27.875925377554044,87.25960692285128
Greece,21.84518828451883,87.23140495867769
Croatia,25.0,87.20454545454545
Moldova,17.9,87.1
Slovakia,16.0,87.0
Armenia,14.0,87.0
Czech Republic,23.666666666666668,86.83333333333333
Argentina,23.604663487016428,86.68169900367069
Uruguay,26.737704918032787,86.65573770491804
Chile,21.021543985637344,86.57440212577502
Romania,13.73134328358209,86.5223880597015
Cyprus,16.0,86.33333333333333
Mexico,26.677419354838708,85.96774193548387
Bosnia and Herzegovina,13.0,85.0
Brazil,23.185185185185187,84.35483870967742
Peru,20.5,84.0
Ukraine,9.2,82.8
